customer_id,customer_name,city,phone,signup_date
1,Mishti Chhabra,Chennai,7795368747,2024-12-13
2,Ira Sant,Pune,7918929135,2024-10-23
3,Indranil Sankaran,Mumbai,6844364896,2024-04-01
4,Shamik Sani,Mumbai,7497188261,2024-01-14
5,Amira Barad,Delhi,9560903904,2023-12-01
6,Ojas Kaur,Patna,8353311026,2024-07-29
7,Kartik Rajagopal,Hyderabad,9090078400,2023-04-26
8,Lakshit Mahal,Pune,8978145994,2024-03-22
9,Saksham Dasgupta,Hyderabad,8596994116,2023-07-09
10,Sara Dhingra,Delhi,8418900955,2023-01-18
11,Zara Ghose,Pune,7823486712,2024-09-09
12,Jayan Kohli,Pune,8861499967,2024-02-18
13,Indrajit Bansal,Chennai,8631585696,2023-05-29
14,Aarush Srinivasan,Patna,7475525774,2023-06-21
15,Farhan Singh,Bangalore,9297077793,2024-10-15
16,Shamik Dhar,Patna,8379843947,2024-07-17
17,Pari Das,Kolkata,7089425326,2023-07-24
18,Sana Bumb,Hyderabad,6522824728,2024-04-20
19,Lagan Srinivasan,Kolkata,6471310131,2023-09-03
20,Jivin Barad,Hyderabad,9893736485,2024-12-08
21,Seher Sura,Hyderabad,6113402942,2023-05-26
22,Mamooty Din,Chennai,6904645058,2024-06-17
23,Rania Gara,Chennai,6023760104,2024-11-21
24,Zoya Mani,Delhi,9657369544,2024-02-04
25,Adah Kapadia,Hyderabad,8684604449,2025-02-01
26,Seher Rastogi,Pune,8934324917,2023-08-22
27,Zoya Wadhwa,Patna,7585562462,2024-11-18
28,Sahil Goswami,Delhi,6235934849,2024-03-15
29,Aayush Loke,Mumbai,8677837023,2023-01-05
30,Tara Konda,Mumbai,8920412326,2024-10-07
31,Alisha Saran,Hyderabad,6244147357,2025-02-09
32,Seher Lata,Mumbai,7172523350,2023-06-10
33,Adira Sharaf,Delhi,7864319486,2024-04-10
34,Shlok Saran,Pune,6384264778,2023-04-17
35,Nirvaan Swaminathan,Patna,6822464827,2023-06-20
36,Zain Varma,Pune,6625181197,2023-11-25
